quote_author_handle,quote_author_category,quote_posted_at,quote_tweet_id,quote_tweet_url,quote_text,core_handle,core_posted_at,quoted_core_tweet_id,core_tweet_url,core_text,core_media_ids,core_media_types,core_release_asset_urls,core_quote_count
AlanJacoby,public,2025-09-28T15:03:04.000Z,1972316133488468317,https://x.com/AlanJacoby/status/1972316133488468317,PLEASE!,RapidResponse47,2025-09-28T14:25:29.000Z,1972306673785254389,https://x.com/RapidResponse47/status/1972306673785254389,https://t.co/hIyUkFSzi1,3_1972306670450515968,photo,,314
AlanJacoby,public,2026-05-04T14:50:35.000Z,2051313546504335510,https://x.com/AlanJacoby/status/2051313546504335510,"There you have it, folks. I suspected there was something off about this retard but had high hopes. He is ego driven, and when men who worked with him told me about his much needed weekly professional eyebrow grooming and highly specific camera shots, I knew he was all about himself and his image.
NOW he is endorsing never Trump anti MAGA, Democrats at heart like Anthony Sabatini. He was tossed, and he immediately was sucked into the grift. I thought he would have done great things. Nope, he's a sellout scumbag.",GregoryKBovino,2026-05-04T01:54:35.000Z,2051118260809294075,https://x.com/GregoryKBovino/status/2051118260809294075,"I’m proud to endorse @AnthonySabatini Sabatini for Congress in Florida’s 11th District.
Imagine America five years from now if we keep treating our country like nothing more than an economic zone — a giant open-air Walmart with no borders, no identity, and no loyalty to the people who built it. Picture overwhelmed schools where your kids get less attention, hospitals turning away citizens because beds are filled with emergency cases that never end, wages stuck or falling while housing prices explode, and neighborhoods that feel less safe every single year. That’s not a country anymore. That’s a business that’s liquidating its own citizens.

Sabatini gets it: the fight against illegal immigration isn’t about politics — it’s about whether America remains a real country with sovereignty, culture, and a future for our kids, or just a giant hotel with no checkout time. He’s willing to say what most won’t: secure borders are the foundation of everything else that matters.

That’s why he has my full support. The choice is clear — a sovereign America, or something much worse. Sabatini is fighting for the first one.""
— Greg Bovino",,,,62
AnnaKelly47,public,2025-03-03T18:03:18.000Z,1896622425607147639,https://x.com/AnnaKelly47/status/1896622425607147639,The Trump Effect 📈📈📈,RapidResponse47,2025-03-03T17:58:26.000Z,1896621203110154622,https://x.com/RapidResponse47/status/1896621203110154622,"US Manufacturing Expands For Second Month Under Trump, Driven by Stronger Demand and Policy Shifts https://www.breitbart.com/economy/2025/03/03/us-manufacturing-expands-for-second-month-under-trump-driven-by-stronger-demand-and-policy-shifts/",,,,79
AnnaKelly47,public,2025-03-10T23:47:25.000Z,1899245739655709116,https://x.com/AnnaKelly47/status/1899245739655709116,The best dynamic duo for America’s working families!,WhiteHouse,2025-03-10T23:43:13.000Z,1899244682863088117,https://x.com/WhiteHouse/status/1899244682863088117,"🇺🇸@LChavezDeRemer's confirmation as Labor Secretary is a key step in executing President Trump’s vision for a thriving American workforce.

The Department of Labor will prioritize American workers, foster job growth, and eliminate burdensome regulations that stifle opportunity. https://t.co/grGQPNuLLq",3_1899244661044051968,photo,,32
AnnaKelly47,public,2025-03-11T12:31:11.000Z,1899437949541818875,https://x.com/AnnaKelly47/status/1899437949541818875,"Democrats know that President Trump’s agenda to eliminate the waste of taxpayer dollars is overwhelmingly popular.

That’s why they lie to you.",RapidResponse47,2025-03-11T12:20:09.000Z,1899435170630869499,https://x.com/RapidResponse47/status/1899435170630869499,"You’re an unemployed chronic liar, Peter. He was talking about the $500+ billion in waste, fraud, and abuse every single year — and it’s telling that you don’t support cracking down on it.

Spare us the fake outrage. https://t.co/jAiKi7CfYR",3_1899435167082541056,photo,,26
AnnaKelly47,public,2025-03-16T14:27:22.000Z,1901279127912456270,https://x.com/AnnaKelly47/status/1901279127912456270,"For far too long, foreign terrorists have been allowed to destroy American lives on American soil.

Not anymore.

Under President Trump, they will be found, restrained, and removed.",PressSec,2025-03-16T13:15:45.000Z,1901261105483137501,https://x.com/PressSec/status/1901261105483137501,"President Donald J. Trump signed a Proclamation Invoking the Alien Enemies Act regarding the Invasion of the United States by the Foreign Terrorist Organization Tren De Aragua, using his core powers as President and Commander-in-Chief to defend the American People from an urgent threat.

TDA is one of the most violent and ruthless terrorist gangs on planet earth. They rape, maim and murder for sport. TDA is responsible for some of the most heinous crimes that have occurred on US soil in recent years, including the murders of Laken Riley and Jocelyn Nungaray.

TDA is a direct threat to the national security of the United States.

This weekend, at the President’s direction, the Department of Homeland Security successfully arrested nearly 300 Tren De Aragua terrorists, saving countless American lives. Thanks to the great work of the Department of State, these heinous monsters were extracted and removed to El Salvador where they will no longer be able to pose any threat to the American People.

President Trump will always put the safety of the American People first — and he will never allow foreign terrorist enemies to operate on American soil and endanger our people. They will be found, restrained and removed — and their networks will be destroyed.",,,,307
AnnaKelly47,public,2025-03-20T14:14:05.000Z,1902725335235334576,https://x.com/AnnaKelly47/status/1902725335235334576,THE TRUMP EFFECT 📈,RapidResponse47,2025-03-20T12:27:40.000Z,1902698555774583169,https://x.com/RapidResponse47/status/1902698555774583169,"CNBC: ""Nvidia CEO Jensen Huang says his company is set to spend hundreds of billions on chips and other electronics manufactured in America over the next four years."" 🔥 https://t.co/qVAAaBzmTN",7_1902698233228300288,video,,54
AnnaKelly47,public,2025-03-24T22:39:34.000Z,1904302096242860527,https://x.com/AnnaKelly47/status/1904302096242860527,"Foreign business leaders are betting on @realDonaldTrump’s economy!

They know he is ushering in a New Golden Age for America.",WhiteHouse,2025-03-24T22:11:59.000Z,1904295154191569162,https://x.com/WhiteHouse/status/1904295154191569162,"Today, President Trump announced Hyundai's $20 BILLION investment in the U.S. 🇺🇸

""Hyundai is a great company... We have other great companies coming in... We're well into the $3-$4 trillion mark, which has never happened to our country before."" – @POTUS https://t.co/nMMHoJRzxi",3_1904294868978909184 3_1904294869071224832,photo photo, ,51
AnnaKelly47,public,2025-05-30T13:49:06.000Z,1928448587450417243,https://x.com/AnnaKelly47/status/1928448587450417243,DEALMAKER IN CHIEF‼️,RapidResponse47,2025-05-30T13:13:55.000Z,1928439733048270977,https://x.com/RapidResponse47/status/1928439733048270977,"🚨 CNBC on new trade deficit numbers: ""We cut it in HALF!? ... This really does underscore how the movement of goods and services has really changed due to a variety of tariff-related issues.""

It's the biggest narrowing of the trade deficit in a single month on record. https://t.co/oPlZKOGGkF",13_1928438399351865344,video,,162
AnnaKelly47,public,2025-05-30T18:15:18.000Z,1928515579570270700,https://x.com/AnnaKelly47/status/1928515579570270700,Me looking at all the “reporters” and “experts” who said it couldn’t be done https://t.co/A6LRJjYv3j,RapidResponse47,2025-05-30T18:04:46.000Z,1928512925116878860,https://x.com/RapidResponse47/status/1928512925116878860,".@POTUS plays a clip of CNBC's Rick Santelli and @JoeSquawk praising today's news of easing inflation, rising incomes, and shrinking trade deficit https://t.co/ocqFlreidt",13_1928512861657042944,video,,88
